,vehicle_lane,lon,lat,timestep,mobility_mode,vehicle_noise,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,amount
77,-101154827,24.92771090737302,60.16258061095071,38,fuel,73.23515125828364,2308.75,43486.46,554.24,322.36,3.0300000000000002,20.0
78,-101154827,24.92771090737302,60.16258061095071,39,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-101154827,24.92771090737302,60.16258061095071,39,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,-101154827,24.92771090737302,60.16258061095071,40,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,-101154827,24.92771090737302,60.16258061095071,40,fuel,72.40405603998252,2170.07,33754.36,515.9,239.57,3.32,18.0
82,-101154827,24.92771090737302,60.16258061095071,41,electric,72.66681271479376,0.0,0.0,0.0,0.0,2.84,15.0
83,-101154827,24.92771090737302,60.16258061095071,41,fuel,62.89378549733884,242.67000000000002,5220.57,64.39,34.38,0.22,2.0
84,-101154827,24.92771090737302,60.16258061095071,42,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,-101154827,24.92771090737302,60.16258061095071,42,fuel,77.62826169151936,6409.06,108172.44,1470.69,844.12,9.91,52.0
86,-101154827,24.92771090737302,60.16258061095071,43,electric,68.82386321742783,0.0,0.0,0.0,0.0,0.85,6.0
87,-101154827,24.92771090737302,60.16258061095071,43,fuel,71.64519391386342,1675.4,29245.44,391.41999999999996,224.76,2.48,13.0
88,-101154827,24.92771090737302,60.16258061095071,44,electric,70.74458159198082,0.0,0.0,0.0,0.0,2.22,12.0
89,-101154827,24.92771090737302,60.16258061095071,44,fuel,74.67074118259069,3585.74,62267.88,872.34,431.65,4.85,28.0
90,-101154827,24.92771090737302,60.16258061095071,45,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,-101154827,24.92771090737302,60.16258061095071,45,fuel,72.91645207165702,2283.37,40546.45,524.71,319.61,3.41,16.0
92,-101154827,24.92771090737302,60.16258061095071,46,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,-101154827,24.92771090737302,60.16258061095071,46,fuel,73.75002641421064,2443.91,43095.090000000004,557.63,341.08,3.65,22.0
94,-101154827,24.92771090737302,60.16258061095071,47,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,-101154827,24.92771090737302,60.16258061095071,47,fuel,75.15779716933481,3929.35,63489.59,936.72,455.64,5.85,33.0
96,-101154827,24.92771090737302,60.16258061095071,48,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,-101154827,24.92771090737302,60.16258061095071,48,fuel,73.27182179348264,2465.15,41888.03,557.99,336.38,3.93,17.0
98,-101154827,24.92771090737302,60.16258061095071,49,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,-101154827,24.92771090737302,60.16258061095071,49,fuel,74.43146011353704,2927.32,53320.72,633.55,455.53,4.68,20.0
100,-101154827,24.92771090737302,60.16258061095071,50,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,-101154827,24.92771090737302,60.16258061095071,50,fuel,76.49545457346188,4981.83,86245.41,1088.9,678.0600000000001,7.38,35.0
102,-101154827,24.92771090737302,60.16258061095071,51,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,-101154827,24.92771090737302,60.16258061095071,51,fuel,72.59751355852522,2106.52,31973.920000000002,486.54,240.29999999999998,3.48,17.0
104,-101154827,24.92771090737302,60.16258061095071,52,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,-101154827,24.92771090737302,60.16258061095071,52,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,-101154827,24.92771090737302,60.16258061095071,53,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,-101154827,24.92771090737302,60.16258061095071,53,fuel,72.12359522511743,1951.22,39356.2,486.8,271.65999999999997,2.12,15.0
108,-101154827,24.92771090737302,60.16258061095071,54,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,-101154827,24.92771090737302,60.16258061095071,54,fuel,68.10654210444933,811.26,11797.02,192.93,82.67999999999999,1.33,7.0
110,-101154827,24.92771090737302,60.16258061095071,55,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,-101154827,24.92771090737302,60.16258061095071,55,fuel,75.81783844378448,3834.4,61516.79,827.47,520.98,6.8,29.0
112,-101154827,24.92771090737302,60.16258061095071,56,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,-101154827,24.92771090737302,60.16258061095071,56,fuel,72.2956382488878,1949.09,27050.36,452.4,201.70000000000002,3.54,14.0
114,-101154827,24.92771090737302,60.16258061095071,57,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,-101154827,24.92771090737302,60.16258061095071,57,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
